1;-;Алименты 
1;-;Автомобиль 
2;-;Оплата автомобилей 
2;-;Бензин 
2;-;Техническое обслуживание 
1;-;Банковские расходы 
2;-;Проценты, уплаченные 
2;-;Плата за обслуживание 
1;-;Векселей 
2;-;Кабельное / Спутниковое телевидение 
2;-;Сотовый телефон 
2;-;Сотовые 
2;-;Электричество 
2;-;Garbage и Recycle 
2;-;Оздоровительный центр 
2;-;Домой-владельца сборам 
2;-;Членских взносов 
2;-;Ипотечный оплаты 
2;-;Природный газ / нефть 
2;-;Газета 
2;-;On-line/Internet службы 
2;-;Другие платеж по кредиту 
2;-;Аренда 
2;-;Студент Жилищный кредит 
2;-;Телефон 
2;-;Вода и канализационные 
1;-;Снятие наличных 
1;-;Благотворительные пожертвования 
1;-;Забота о детях 
1;-;Детей / Игрушки 
2;-;Финансовая поддержка 
2;-;Дневные 
1;-;Одежда 
1;-;Платежи по кредитным картам / Переводы 
1;-;Из столовой 
1;-;Образование 
2;-;Книги 
2;-;Тарифы 
2;-;Помощь в учебе 
1;-;Развлечения 
1;-;Тарифы 
1;-;Питание 
1;-;Подарки 
1;-;Бакалейные товары 
1;-;Медико-санитарных 
2;-;Стоматологические 
2;-;Глаз-санитарной помощи 
2;-;Больница 
2;-;Врач 
2;-;Рецепты 
1;-;Хобби / Досуг 
2;-;Книги и журналы 
2;-;Культурные мероприятия 
2;-;Развлекательный 
2;-;Фильмы и видео в аренду 
2;-;Спортивные события 
2;-;Спортивные товары 
2;-;Кассеты и компакт-дисков 
2;-;Игрушки и игры 
1;-;Home Improvement 
1;-;Домашнее хозяйство 
2;-;Обстановка 
2;-;Уборка помещений 
2;-;Двор службы 
1;-;Страхование 
2;-;Автомобильные 
2;-;Здоровье 
2;-;Домой-владельца / арендатора 
2;-;Жизнь 
1;-;Работа расходов 
2;-;Не возмещаются 
2;-;Возмещение 
1;-;Заем 
2;-;Процентная 
2;-;Проценты по ипотечным кредитам 
2;-;Студенческий кредит Процентные 
1;-;Разное 
1;-;Ипотека / Аренда 
1;-;Красота и здоровье 
1;-;Pet помощи 
2;-;Продукты питания 
2;-;Принадлежности 
2;-;Ветеринарного 
1;-;Телефон / Wireless 
1;-;Услуги / Членство 
1;-;Налоги 
2;-;Федерального подоходного налога 
2;-;Федеральный подоходного налога предыдущим годом 
2;-;Местный подоходный налог 
2;-;Medicare налог 
2;-;Прочие налоги 
2;-;Налоги на недвижимость 
2;-;Налог с продаж 
2;-;Налога на социальное обеспечение 
2;-;Налога на прибыль 
2;-;Штата / провинции 
1;-;Путешествия / Сезонный 
2;-;Жилье 
2;-;Поездки 
1;-;Коммунальные услуги 
1;+;Прибыль / Интерес 
1;+;Доходы от инвестиций 
2;+;Доход от прироста капитала 
2;+;Дивиденды 
2;+;Проценты 
2;+;Освобожденных от налогообложения интересов 
1;+;Не расходов 
1;+;Прочие доходы 
2;+;Финансовая поддержка Поступило 
2;+;Сотрудник Stock Option 
2;+;Подарки, полученные 
2;+;Кредит Основные Поступило 
2;+;Розыгрыши 
2;+;Государственный и местный налог Возврат 
2;+;Пособия по безработице 
1;+;Пенсионный доход 
2;+;Распределение ИРА 
2;+;Пенсии и аннуитеты 
2;+;Пособия по социальному обеспечению 
1;+;Заработной платы и зарплаты 
2;+;Бонус 
2;+;Комиссия 
2;+;Работодатель соответствия 
2;+;Размер заработной платы 
2;+;Чистые платный 
2;+;Сверхурочные 
