1;-;Pensia alimentară 
1;-;Auto 
2;-;Maşini de plată 
2;-;Benzina 
2;-;Întreţinere 
1;-;Banca Taxe 
2;-;Dobânda plătită 
2;-;Tariful pentru serviciu 
1;-;Proiectele de legi 
2;-;Televiziune prin cablu sau televiziune prin satelit 
2;-;Telefon mobil 
2;-;Celular 
2;-;Electricitate 
2;-;Gunoi & Recycle 
2;-;Club de sanatate 
2;-;Home-proprietarului Dues 
2;-;Componenţa Taxe 
2;-;Ipoteca de plată 
2;-;Gaze naturale / petrol 
2;-;Ziar 
2;-;Serviciul On-line/Internet 
2;-;Alte împrumut de plată 
2;-;Inchirieri 
2;-;Student Împrumut de plată 
2;-;Telefon 
2;-;Apă şi canalizare 
1;-;Retragerea de numerar 
1;-;Donatii caritabile 
1;-;De îngrijire a copiilor 
1;-;Copii / Jucarii 
2;-;Suport pentru copii 
2;-;Zi 
1;-;Îmbrăcăminte 
1;-;Card de credit Plăţi / transferuri 
1;-;Dining Out 
1;-;Educaţie 
2;-;Carti 
2;-;Taxe 
2;-;Scolarizare 
1;-;Divertisment 
1;-;Taxe 
1;-;Alimente 
1;-;Cadouri 
1;-;Alimente 
1;-;De sănătate 
2;-;Dentare 
2;-;Ochi-de îngrijire 
2;-;Spitalul 
2;-;Medic 
2;-;Prescripţii 
1;-;Hobby-uri / Agrement 
2;-;Cărţi şi reviste 
2;-;Evenimente culturale 
2;-;Divertisment 
2;-;Filme & Inchirieri Video 
2;-;Evenimente sportive 
2;-;Sportive 
2;-;Benzi si CD-uri 
2;-;Jucarii si jocuri 
1;-;Home Îmbunătăţirea 
1;-;Gospodărie 
2;-;Mobilier 
2;-;Casa de curăţare 
2;-;Serviciul Yard 
1;-;Asigurare 
2;-;Automobile 
2;-;Sănătate 
2;-;Home-proprietarului / Clientul a 
2;-;Viaţa 
1;-;Cheltuieli de locuri de muncă 
2;-;Non-rambursate 
2;-;Rambursate 
1;-;Împrumut 
2;-;Împrumut fără dobândă 
2;-;Ipoteca Dobânzi 
2;-;Student Împrumut de Interes 
1;-;Diverse 
1;-;Ipoteca / Inchiriaza 
1;-;De îngrijire personală 
1;-;Pet Care 
2;-;Produse alimentare 
2;-;Consumabile 
2;-;Medicul veterinar 
1;-;Telefon / Wireless 
1;-;Servicii / Afilieri 
1;-;Taxele 
2;-;Federal Impozitul pe venit 
2;-;Anul venit Federală fiscal precedent 
2;-;Locală Impozitul pe venit 
2;-;Medicare fiscale 
2;-;Alte impozite 
2;-;Taxele Real Estate 
2;-;Taxa de Vanzare 
2;-;Asigurări sociale 
2;-;De stat impozitul pe venit 
2;-;De stat / Provincial 
1;-;Travel / vacanþã 
2;-;Cazarea 
2;-;Turism 
1;-;Utilităţi 
1;+;Venituri / Interes 
1;+;Venituri din investiţii 
2;+;Castiguri de capital 
2;+;Dividende 
2;+;Dobânzi 
2;+;Scutite de impozite Interes 
1;+;Nu este o cheltuială 
1;+;Alte venituri 
2;+;Suport copil a primit 
2;+;Angajat Stock Option 
2;+;Cadouri primite 
2;+;Principal de imprumut primite 
2;+;Loteriile 
2;+;Taxa hoteliera de stat & Returnare 
2;+;Şomajul Despăgubiri 
1;+;Venituri de pensionare 
2;+;IRA Distribuţie 
2;+;Pensii şi anuităţi 
2;+;Prestaţii de securitate socială 
1;+;Salariul & Salariu 
2;+;Bonus 
2;+;Comisia 
2;+;Angajatorului potrivire 
2;+;Brute Plătiţi 
2;+;Salariale nete 
2;+;Orele suplimentare 
